table;dur;birth;death;chngs;s@s;s@e;sAvg
t_history_subscription_channel;5;50;-;1;7;7;7.0
t_blacklist;12;43;-;1;4;4;4.0
t_site_source;30;13;42;4;3;4;3.0666666
t_bad_file;12;43;-;0;4;4;4.0
t_agent;45;0;44;2;8;8;8.0
t_fsize_distribution;15;26;40;1;3;3;3.0
t_history_transfer_requests_submitting;9;46;-;2;4;5;4.7777777
t_monitor;5;50;-;0;1;1;1.0
t_history_files_in_transfer;9;46;-;2;5;6;5.7777777
t_history_transfer_requests_pending;9;46;-;2;4;5;4.7777777
t_history_active_to_inactive;7;48;-;1;4;4;4.0
schema_version;55;0;-;1;1;2;1.4363636
t_file_catalog_cache;10;45;-;1;4;5;4.7
t_history_callbacks;9;46;-;2;4;5;4.7777777
t_lookup_request;43;0;42;4;7;6;6.0697675
t_callback;12;43;-;1;7;7;7.0
t_history;2;48;49;0;1;1;1.0
t_history_inactive_to_active;7;48;-;1;5;5;5.0
t_history_dataset;5;50;-;1;7;7;7.0
t_history_transfer_request;7;48;-;1;7;7;7.0
t_transfer_request;55;0;-;12;12;12;12.145454
t_history_transfer_request_duration;2;46;47;0;6;6;6.0
t_subscription_file;42;0;42;2;3;4;3.142857
t_monitor_transfer_request_submit;7;48;-;1;11;11;11.0
t_bad_transfer;12;43;-;0;6;6;6.0
t_active_transfer;30;13;42;3;4;4;4.0
t_nr_callbacks;2;43;44;0;3;3;3.0
t_source_file;43;0;42;8;11;12;11.209302
t_nr_requests_to_poll;2;43;44;0;3;3;3.0
t_history_files_in_queue;9;46;-;2;5;6;5.7777777
t_history_files_in_registration;9;46;-;2;3;4;3.7777777
t_history_subscription;5;50;-;1;6;6;6.0
t_subscription_files_in_transfer;12;43;-;0;4;4;4.0
t_nr_files_in_transfer;2;43;44;0;4;4;4.0
t_monitor_transfer_request_poll;7;48;-;1;11;11;11.0
t_callback_entry;43;0;42;0;7;7;7.0
t_nr_files_in_queue;2;43;44;0;4;4;4.0
t_file;55;0;-;43;28;23;28.872726
t_register_request;3;0;2;0;7;7;7.0
t_subscription;54;0;-;59;32;14;29.333334
t_history_file_transfer;9;46;-;7;15;13;13.333333
t_nr_requests_to_submit;2;43;44;0;3;3;3.0
