table;dur;birth;death;chngs;s@s;s@e;sAvg
nucleus_actionlog;5;0;-;0;2;2;2.0
nucleus_activation;5;0;-;1;5;5;5.0
nucleus_ban;5;0;-;0;3;3;3.0
nucleus_blog;5;0;-;1;19;19;19.0
nucleus_category;5;0;-;1;4;4;4.0
nucleus_comment;5;0;-;1;11;11;11.0
nucleus_config;5;0;-;1;2;2;2.0
nucleus_item;5;0;-;1;13;13;13.0
nucleus_karma;5;0;-;0;2;2;2.0
nucleus_member;5;0;-;5;12;14;12.8
nucleus_plugin;5;0;-;1;3;3;3.0
nucleus_plugin_event;5;0;-;0;2;2;2.0
nucleus_plugin_option;5;0;-;1;3;3;3.0
nucleus_plugin_option_desc;5;0;-;1;8;8;8.0
nucleus_skin;5;0;-;1;3;3;3.0
nucleus_skin_desc;5;0;-;1;6;6;6.0
nucleus_team;5;0;-;1;3;3;3.0
nucleus_template;5;0;-;1;3;3;3.0
nucleus_template_desc;5;0;-;1;3;3;3.0
nucleus_tickets;5;0;-;1;3;3;3.0
