# oldVersion,newVersion,#oldTables,#newTables,#oldAttrs,newAttr,tableIns,tableDel,attrIns,attrDel,attrTypeAlt,keyAlt,totalAlt
1206189077.sql,1214064253.sql,62,62,535,535,0,0,0,0,6,0,6
1214064253.sql,1217334967.sql,62,62,535,537,0,0,2,0,0,0,0
1217334967.sql,1217427783.sql,62,62,537,537,0,0,0,0,0,0,0
1217427783.sql,1222175013.sql,62,62,537,538,0,0,1,0,0,0,0
1222175013.sql,1227729515.sql,62,62,538,539,0,0,1,0,0,0,0
1227729515.sql,1227793464.sql,62,62,539,539,0,0,0,0,12,0,12
1227793464.sql,1237555339.sql,62,62,539,539,0,0,0,0,0,0,0
1237555339.sql,1244464586.sql,62,62,539,539,0,0,0,0,0,0,0
1244464586.sql,1245405110.sql,62,62,539,540,0,0,1,0,0,0,0
1245405110.sql,1245744594.sql,62,62,540,542,0,0,2,0,0,0,0
1245744594.sql,1246091800.sql,62,62,542,542,0,0,0,0,0,0,0
1246091800.sql,1248209951.sql,62,62,542,544,0,0,2,0,0,0,0
1248209951.sql,1249314416.sql,62,62,544,547,0,0,3,0,0,0,0
1249314416.sql,1249486126.sql,62,62,547,547,0,0,0,0,0,0,0
1249486126.sql,1250089247.sql,62,62,547,548,0,0,1,0,0,0,0
1250089247.sql,1252079050.sql,62,62,548,548,0,0,0,0,0,0,0
1252079050.sql,1252085233.sql,62,62,548,548,0,0,0,0,0,0,0
1252085233.sql,1254680099.sql,62,62,548,548,0,0,0,0,0,0,0
1254680099.sql,1264444924.sql,62,62,548,548,0,0,0,0,0,0,0
1264444924.sql,1264720525.sql,62,62,548,548,0,0,0,0,0,0,0
1264720525.sql,1267655529.sql,62,62,548,548,0,0,0,0,0,0,0
1267655529.sql,1278541391.sql,62,61,548,538,2,3,12,26,3,0,3
1278541391.sql,1287500783.sql,61,62,538,550,3,2,22,10,1,0,1
1287500783.sql,1294765945.sql,62,62,550,548,0,0,0,4,1,0,1
1294765945.sql,1297281817.sql,62,62,548,549,0,0,1,0,2,0,2
1297281817.sql,1298516622.sql,62,62,549,548,0,0,0,2,2,0,2
1298516622.sql,1299016620.sql,62,62,548,549,0,0,1,0,1,0,1
1299016620.sql,1307589206.sql,62,61,549,538,2,3,10,24,0,0,0
1307589206.sql,1307700179.sql,61,63,538,556,3,1,22,6,1,0,1
1307700179.sql,1307814124.sql,63,63,556,558,0,0,2,0,1,0,1
1307814124.sql,1307922738.sql,63,63,558,556,0,0,0,4,1,0,1
1307922738.sql,1307924435.sql,63,63,556,558,0,0,2,0,1,0,1
1307924435.sql,1309673740.sql,63,63,558,555,0,0,0,6,1,0,1
1309673740.sql,1309820842.sql,63,63,555,557,0,0,2,0,1,0,1
1309820842.sql,1310745473.sql,63,60,557,539,2,5,17,37,1,0,1
1310745473.sql,1313910416.sql,60,61,539,538,2,1,14,23,1,0,1
1313910416.sql,1314652660.sql,61,61,538,539,0,0,1,0,0,0,0
1314652660.sql,1315065330.sql,61,61,539,545,1,1,9,3,0,0,0
1315065330.sql,1316545707.sql,61,60,545,536,0,1,0,11,0,0,0
1316545707.sql,1318556462.sql,60,63,536,555,3,0,21,4,1,0,1
1318556462.sql,1318559368.sql,63,63,555,555,0,0,0,0,0,0,0
1318559368.sql,1318559960.sql,63,60,555,536,0,3,2,24,1,0,1
1318559960.sql,1321640046.sql,60,61,536,539,1,0,3,0,0,0,0
1321640046.sql,1328302464.sql,61,61,539,540,0,0,1,0,0,0,0
1328302464.sql,1329343412.sql,61,61,540,540,0,0,1,2,0,0,0
1329343412.sql,1331759898.sql,61,59,540,530,0,2,4,15,0,0,0
1331759898.sql,1332619774.sql,59,59,530,532,0,0,2,0,0,0,0
1332619774.sql,1333049887.sql,59,59,532,531,0,0,0,2,0,0,0
1333049887.sql,1333578516.sql,59,59,531,531,0,0,0,0,0,0,0
1333578516.sql,1333894266.sql,59,59,531,531,0,0,0,0,2,0,2
1333894266.sql,1335433057.sql,59,59,531,533,0,0,2,0,2,0,2
1335433057.sql,1338826175.sql,59,59,533,530,0,0,0,6,1,0,1
1338826175.sql,1342543690.sql,59,63,530,556,5,1,36,17,2,0,2
1342543690.sql,1342823868.sql,63,59,556,530,1,5,10,39,4,0,4
1342823868.sql,1343051454.sql,59,59,530,531,0,0,1,0,2,0,2
1343051454.sql,1349401699.sql,59,61,531,543,2,0,12,0,0,0,0
1349401699.sql,1350188670.sql,61,61,543,544,0,0,1,0,0,0,0
1350188670.sql,1350784458.sql,61,61,544,544,0,0,1,2,3,0,3
1350784458.sql,1351552160.sql,61,61,544,545,0,0,1,0,0,0,0
1351552160.sql,1352237013.sql,61,59,545,533,0,2,2,14,0,0,0
1352237013.sql,1352566724.sql,59,61,533,547,2,0,14,0,0,0,0
1352566724.sql,1352728648.sql,61,59,547,533,0,2,0,14,2,0,2
1352728648.sql,1352802565.sql,59,60,533,538,1,0,5,0,2,0,2
1352802565.sql,1352820242.sql,60,60,538,537,0,0,0,2,0,0,0
1352820242.sql,1354282578.sql,60,59,537,533,0,1,1,5,2,0,2
1354282578.sql,1354484838.sql,59,59,533,536,0,0,3,0,2,0,2
1354484838.sql,1354997545.sql,59,61,536,547,2,0,14,6,0,0,0
1354997545.sql,1355620706.sql,61,62,547,548,1,0,2,2,0,0,0
1355620706.sql,1355626948.sql,62,62,548,548,0,0,1,2,0,0,0
1355626948.sql,1355627306.sql,62,62,548,548,0,0,1,2,0,0,0
1355627306.sql,1355627825.sql,62,62,548,548,0,0,1,2,0,0,0
1355627825.sql,1357704554.sql,62,60,548,539,1,3,6,15,0,0,0
1357704554.sql,1357852191.sql,60,60,539,540,0,0,1,0,0,0,0
1357852191.sql,1357861263.sql,60,59,540,532,0,1,0,9,0,0,0
1357861263.sql,1357910825.sql,59,59,532,533,0,0,1,0,0,0,0
1357910825.sql,1358271099.sql,59,62,533,551,3,0,18,0,0,0,0
1358271099.sql,1358297651.sql,62,59,551,535,0,3,0,17,0,0,0
1358297651.sql,1359648882.sql,59,62,535,551,3,0,16,0,0,0,0
1359648882.sql,1359937804.sql,62,59,551,536,0,3,0,15,0,0,0
1359937804.sql,1360171513.sql,59,60,536,543,1,0,7,0,0,0,0
1360171513.sql,1360192079.sql,60,60,543,543,0,0,0,0,2,0,2
1360192079.sql,1360640235.sql,60,63,543,558,3,0,15,0,2,0,2
1360640235.sql,1361822614.sql,63,61,558,547,1,3,5,17,0,0,0
1361822614.sql,1362352935.sql,61,63,547,558,3,1,16,5,2,0,2
1362352935.sql,1362425153.sql,63,64,558,562,1,0,5,2,2,0,2
1362425153.sql,1362425622.sql,64,64,562,562,0,0,0,0,2,0,2
1362425622.sql,1362446529.sql,64,65,562,564,1,0,2,0,0,0,0
1362446529.sql,1362519581.sql,65,65,564,564,0,0,0,0,1,0,1
1362519581.sql,1367207585.sql,65,65,564,565,0,0,4,6,1,1,2
1367207585.sql,1367288527.sql,65,65,565,565,0,0,1,2,0,0,0
