table;dur;birth;death;chngs;s@s;s@e;sAvg
css;62;337;-;5;12;14;13.693548
comment_log;13;386;-;0;4;4;4.0
sectionblocks;2;0;1;0;8;8;8.0
globj_types;39;358;-;0;2;2;2.0
discussions;399;0;-;45;4;17;11.641604
users_prefs;399;0;-;20;7;8;7.887218
querylog;139;260;-;0;9;9;9.0
open_proxies;115;284;-;4;3;6;5.495652
story_static_files;6;393;-;3;4;7;5.6666665
content_filters;399;0;-;15;9;9;9.007519
session_login;1;23;23;0;2;2;2.0
skins;108;291;-;20;14;20;17.61111
al2_log;69;330;-;0;6;6;6.0
vars;399;0;-;6;5;3;3.1553884
commentmodes;399;0;-;0;3;3;3.0
story_files;2;238;239;0;5;5;5.0
sessions;399;0;-;14;5;7;6.062657
story_text;334;63;-;6;4;6;4.760479
templates;382;17;-;16;5;10;9.376964
globjs;39;358;-;0;3;3;3.0
accesslog_artcom;120;279;-;0;3;3;3.0
topic_images;42;249;290;0;5;5;5.0
section_extras;170;119;290;6;4;5;4.7647057
submissions;399;0;-;24;12;18;15.012531
sortcodes;24;0;23;0;2;2;2.0
threshcodes;26;0;25;0;2;2;2.0
file_queue;6;393;-;2;5;6;5.6666665
users_param;387;12;-;9;4;4;4.0
issuemodes;24;0;23;0;2;2;2.0
al2_types;69;330;-;0;4;4;4.0
modreasons;174;208;381;2;6;8;7.683908
authors;20;0;19;2;12;12;12.15
topic_param;100;299;-;0;4;4;4.0
users_hits;249;150;-;0;3;3;3.0
story_render_dirty;95;304;-;0;1;1;1.0
topic_nexus_extras;108;291;-;3;5;8;7.5277777
tzcodes;399;0;-;12;3;6;4.406015
story_topics;133;158;290;1;3;4;3.3233082
dateformats;399;0;-;5;3;3;3.0
story_topics_rendered;108;291;-;1;3;2;2.1203704
section_subsections;76;215;290;0;2;2;2.0
section_topics;216;73;290;4;2;3;2.5324075
newstories;73;0;145;12;17;17;16.630136
categories;1;185;185;0;4;4;4.0
moderatorlog;382;0;381;62;7;13;11.565445
hooks;227;172;-;0;4;4;4.0
related_stories;37;360;-;5;6;9;7.6216216
blocks_param;2;14;15;0;4;4;4.0
sections_contained;95;196;290;2;3;3;3.0
comment_text;338;59;-;7;2;2;2.0
statuscodes;24;0;23;0;2;2;2.0
related_links;317;80;-;0;4;4;4.0
topics;399;0;-;44;5;10;6.81203
al2;69;330;-;0;3;3;3.0
misc_user_opts;260;137;-;0;8;8;8.0
slashslices;10;0;9;0;4;4;4.0
comments_hash;6;60;65;0;12;12;12.0
users_logtokens;127;272;-;3;5;7;6.3700786
skin_colors;108;291;-;2;3;3;3.0
commentcodes;24;0;23;0;2;2;2.0
al2_log_comments;69;330;-;0;2;2;2.0
discussion_kinds;48;351;-;0;2;2;2.0
slashd_errnotes;119;280;-;0;5;5;5.0
accesslog;399;0;-;33;8;17;12.60401
dbs_readerstatus_queries;80;319;-;0;2;2;2.0
subsections;105;186;290;2;4;4;4.0857143
metamodlog;378;0;380;21;5;6;5.973545
globj_urls;28;369;-;0;3;3;3.0
backup_blocks;385;14;-;0;2;2;2.0
users_index;399;0;-;43;7;14;8.115288
pollanswers;399;0;-;15;4;4;4.0
site_info;360;39;-;5;4;4;4.0
accesslog_admin;179;220;-;6;10;13;12.899442
abusers;399;0;-;20;6;8;7.6992483
storiestuff;73;0;145;1;2;2;2.0
story_dirty;108;291;-;0;1;1;1.0
users_acl;329;68;-;5;4;3;3.5471125
authors_cache;268;129;-;0;7;7;7.0
comment_heap;59;66;124;9;12;12;12.0
sections;291;0;290;42;7;19;11.628866
users;399;0;-;27;10;12;11.398497
pollvoters;399;0;-;7;4;4;4.0
newcomments;20;29;48;1;11;11;11.0
dbs;166;233;-;5;4;6;5.0903616
postmodes;28;0;27;0;2;2;2.0
topic_parents;108;291;-;1;3;3;3.0
users_clout;8;391;-;0;4;4;4.0
maillist;24;0;23;0;2;2;2.0
topic_nexus_dirty;108;291;-;0;1;1;1.0
soap_methods;141;258;-;0;6;6;6.0
dst;187;212;-;0;10;10;10.0
classes;166;233;-;0;4;4;4.0
topic_nexus;108;291;-;0;2;2;2.0
hitters;43;0;42;0;3;3;3.0
users_info;399;0;-;190;12;25;28.62406
urls;32;365;-;3;13;16;15.4375
string_param;247;152;-;4;4;4;4.0
badpasswords;132;267;-;1;5;6;5.8636365
displaycodes;24;0;23;0;2;2;2.0
slashd_status;221;178;-;7;3;6;5.9864254
css_type;62;337;-;0;3;3;3.0
spamarmors;336;61;-;2;4;4;4.0
menus;395;4;-;21;7;8;6.956962
topic_image_sections;36;249;284;0;3;3;3.0
users_count;196;115;312;1;1;1;1.0
story_topics_chosen;108;291;-;1;3;3;3.0
comments;399;0;-;77;11;23;14.749373
stories;399;0;-;104;17;19;17.290728
users_key;14;0;13;0;2;2;2.0
blocks;399;0;-;46;7;18;15.664161
isolatemodes;24;0;23;0;2;2;2.0
code_param;375;24;-;7;4;4;4.0
users_comments;399;0;-;62;17;17;17.055138
signoff;40;357;-;1;4;5;4.925
globj_adminnotes;20;377;-;0;2;2;2.0
clout_types;8;391;-;0;3;3;3.0
dbs_readerstatus;80;319;-;2;8;10;9.9
submission_param;240;159;-;1;4;4;4.0
story_heap;56;71;126;22;14;15;14.017858
pollquestions;399;0;-;35;4;11;8.857142
accesslist;285;58;344;48;9;22;13.6070175
discussion_hitparade;23;84;106;0;4;4;4.0
formkeys;399;0;-;48;11;12;11.699248
rss_raw;218;181;-;6;10;11;10.995413
remarks;88;311;-;7;4;7;6.159091
story_param;367;32;-;12;4;4;4.0
