#,Project,Tracker,Parent task,Status,Priority,Subject,Author,Assigned To,Updated,Category,Target version,Start date,Due date,Estimated time,% Done,Created,Story points,Velocity based estimate,Position,Remaining (hours),Tags
75839,TYPO3 Skinning Reference,Feature,"",New,Should have,2 Icons for intermediate tables,David Bruchmann,"",2016-04-21 13:17,"","",2016-04-21,"","",0,2016-04-21 13:17,"","",-750200,"",""
72329,Documentation Rendering,Feature,Epic #57147: Rework design and general content of docs.typo3.org,Accepted,Must have,"Prepare a 7.6 IntroductionPackage for the ""Glue Pages""",Martin Bless,Martin Bless,2015-12-18 23:27,"","",2015-12-18,"","",0,2015-12-18 23:27,"","",-600750,"",""
69508,Documentation,Feature,"",Rejected,Should have,Auto-link references to forge tickets in changelog,Urs Braem,"",2015-09-07 12:30,Manuals,"",2015-09-03,"","",0,2015-09-03 16:43,"","",-460050,"",""
65931,Documentation Rendering,Feature,"",Resolved,Must have,Allow syntax highlighting of PHP in reST for fragments,Simon Schaufelberger,Martin Bless,2015-04-28 09:18,"","",2015-03-23,"","",100,2015-03-23 13:26,"","",-282300,"",""
65715,Documentation Rendering,Feature,"",Resolved,Must have,"Introduce flag TER=1 to distinguish TER extensions from ""static"" manuals",Martin Bless,Xavier Perseguers,2015-03-16 17:35,"","",2015-03-13,"","",80,2015-03-13 11:53,"","",-271500,"",""
63117,TypoScript Reference (TSref),Feature,"",Closed,Must have,FLUIDTEMPLATE now supports fallback paths,Markus Klein,Francois Suter,2014-11-27 21:51,"",6.2,2014-11-20,"","",100,2014-11-20 23:54,"","",-141750,"",""
62597,Documentation Rendering,Feature,Epic #60470: Enhance PDF rendering,Closed,Should have,Higher output resolution for images,Xavier Perseguers,Xavier Perseguers,2014-11-03 07:11,"","",2014-11-01,"","",100,2014-11-01 13:49,"","",-115750,"",""
62512,TSconfig,Feature,"",New,Should have,Make properties linkable,Christian Weiske,"",2014-10-28 12:49,"","",2014-10-28,"","",0,2014-10-28 11:31,"","",-111500,"",""
62099,TypoScript Reference (TSref),Feature,"",Resolved,Should have,IMGRESOURCE: Document stdWrap for frame property,Stefan Froemken,Chris topher,2014-11-28 15:27,"",6.2,2014-10-08,"","",100,2014-10-08 10:13,"","",-90850,"",""
60719,Documentation Rendering,Feature,"",Closed,Should have,Add piwik tracking code,Francois Suter,"",2014-08-21 21:22,"","",2014-08-01,"","",100,2014-08-01 12:48,"","",-22150,"",""
