sha$~date$~branches
b9542883d77a6188462814cbdf6ba0b250b40d1b$~1234373148"$~* master,  remotes/origin/HEAD -> origin/master,  remotes/origin/dev,  remotes/origin/master,  remotes/origin/master-pre-rollback,  remotes/origin/revert-4710-patch-1,
b6a5b937d58768e4ca6e0d239f70b93ce9a55e58$~1237164239"$~* master,  remotes/origin/HEAD -> origin/master,  remotes/origin/dev,  remotes/origin/master,  remotes/origin/master-pre-rollback,  remotes/origin/revert-4710-patch-1,
47a1bda27fa6836c77c6e3b389bdf30eb5c449b5$~1237208478"$~* master,  remotes/origin/HEAD -> origin/master,  remotes/origin/dev,  remotes/origin/master,  remotes/origin/master-pre-rollback,  remotes/origin/revert-4710-patch-1,
1c42a35df2717cadb2abed761fcd90e37d02b6d6$~1237218277"$~* master,  remotes/origin/HEAD -> origin/master,  remotes/origin/dev,  remotes/origin/master,  remotes/origin/master-pre-rollback,  remotes/origin/revert-4710-patch-1,
b4f7cfd9208c1ca417f8e61f4019e66673c2cfa1$~1237253648"$~* master,  remotes/origin/HEAD -> origin/master,  remotes/origin/dev,  remotes/origin/master,  remotes/origin/master-pre-rollback,  remotes/origin/revert-4710-patch-1,
a237c8a64ad0ea7bd37db65cbbbf790f44bf4ba7$~1237391769"$~* master,  remotes/origin/HEAD -> origin/master,  remotes/origin/dev,  remotes/origin/master,  remotes/origin/master-pre-rollback,  remotes/origin/revert-4710-patch-1,
5ffe1e074fdb07b8b06d64af79e6951b0ff4d2da$~1237392520"$~* master,  remotes/origin/HEAD -> origin/master,  remotes/origin/dev,  remotes/origin/master,  remotes/origin/master-pre-rollback,  remotes/origin/revert-4710-patch-1,
b08ad937a511a91278db53a81e5d580e1ec03c4e$~1237471882"$~* master,  remotes/origin/HEAD -> origin/master,  remotes/origin/dev,  remotes/origin/master,  remotes/origin/master-pre-rollback,  remotes/origin/revert-4710-patch-1,
798073617285de6ea91399597027baa1aecbd5a3$~1237481892"$~* master,  remotes/origin/HEAD -> origin/master,  remotes/origin/dev,  remotes/origin/master,  remotes/origin/master-pre-rollback,  remotes/origin/revert-4710-patch-1,
87024de80c3096c10994cffdf5094db47ea4de04$~1237572660"$~* master,  remotes/origin/HEAD -> origin/master,  remotes/origin/dev,  remotes/origin/master,  remotes/origin/master-pre-rollback,  remotes/origin/revert-4710-patch-1,
