trID;oldVer;newVer;Table;EventType;attrName;attrType;iskey;pkey;fkey
135;rev_012028.sql;rev_012032.sql;tiki_file_galleries;Insertion:UpdateTable;show_explorer;CHAR(1);false;0;-
135;rev_012028.sql;rev_012032.sql;tiki_file_galleries;Insertion:UpdateTable;show_path;CHAR(1);false;0;-
136;rev_012032.sql;rev_012161.sql;-;-;-;-;-;-;-
137;rev_012161.sql;rev_012162.sql;-;-;-;-;-;-;-
138;rev_012162.sql;rev_012238.sql;-;-;-;-;-;-;-
139;rev_012238.sql;rev_012251.sql;-;-;-;-;-;-;-
140;rev_012251.sql;rev_012317.sql;users_users;Insertion:UpdateTable;waiting;CHAR(1);false;0;-
141;rev_012317.sql;rev_012324.sql;-;-;-;-;-;-;-
142;rev_012324.sql;rev_012503.sql;-;-;-;-;-;-;-
143;rev_012503.sql;rev_012564.sql;tiki_pages;Insertion:UpdateTable;wysiwyg;CHAR(1);false;0;-
144;rev_012564.sql;rev_012592.sql;-;-;-;-;-;-;-
145;rev_012592.sql;rev_012643.sql;tiki_blog_posts;Update:TypeChange;title;VARCHAR(255);false;0;-
146;rev_012643.sql;rev_012743.sql;-;-;-;-;-;-;-
147;rev_012743.sql;rev_012750.sql;-;-;-;-;-;-;-
148;rev_012750.sql;rev_012804.sql;-;-;-;-;-;-;-
149;rev_012804.sql;rev_012859.sql;-;-;-;-;-;-;-
150;rev_012859.sql;rev_012907.sql;-;-;-;-;-;-;-
151;rev_012907.sql;rev_012932.sql;-;-;-;-;-;-;-
