#,Project,Tracker,Parent task,Status,Priority,Subject,Author,Assigned To,Updated,Category,Target version,Start date,Due date,Estimated time,% Done,Created,Story points,Velocity based estimate,Position,Remaining (hours),Tags
30675,Security Guide,Task,"",Closed,Should have,Explain advisory identifier used in security bulletins,Michael Schams,Michael Schams,2012-03-22 17:16,"",1.0.0,2011-10-09,"","",100,2011-10-09 02:36,"","",303800,"",""
30676,Security Guide,Task,"",Closed,Should have,"Mention ""patch-day"" or leave it out?",Michael Schams,"",2012-03-22 17:16,"",1.0.0,2011-10-09,"","",100,2011-10-09 03:28,"","",303850,"",""
30677,Security Guide,Task,"",Closed,Should have,Integrity of TYPO3 Packages,Michael Schams,Michael Schams,2012-03-22 17:16,"",1.0.0,2011-10-09,"","",100,2011-10-09 03:32,"","",303900,"",""
30678,Security Guide,Task,"",Closed,Should have,Explain file/directory access permissions,Michael Schams,Michael Schams,2012-03-22 17:16,"",1.0.0,2011-10-09,"","",100,2011-10-09 04:46,"","",303950,"",""
30679,Security Guide,Task,"",Closed,Should have,Recommended database access rights,Michael Schams,Michael Schams,2012-03-22 17:16,"",1.0.0,2011-10-09,"","",100,2011-10-09 05:56,"","",304000,"",""
30683,TCA Reference,Task,"",New,Should have,Improve description of MM-relations,Francois Suter,"",2012-06-04 22:08,"","",2011-10-09,"","",0,2011-10-09 13:59,"","",304200,"",""
30689,TCA Reference,Task,"",New,Should have,Improve data format description for group-type fields,Francois Suter,"",2012-06-04 22:08,"","",2011-10-09,"","",0,2011-10-09 16:39,"","",304500,"",""
30733,Security Guide,Task,"",Closed,Should have,Include information about kinds of attacks?,Chris topher,Michael Schams,2012-03-22 17:16,"",1.0.0,2011-10-10,"","",100,2011-10-10 15:46,"","",306550,"",""
30734,Security Guide,Task,"",Closed,Should have,Apache Configuration: Tell people to restrict access to certain file types,Chris topher,Michael Schams,2012-03-22 17:16,"",1.0.0,2011-10-10,"","",100,2011-10-10 15:54,"","",306600,"",""
30735,Security Guide,Task,"",Closed,Should have,"Apache Configuration: Add the secure line ""Options FollowSymLinks""",Chris topher,Michael Schams,2012-03-22 17:16,"",1.0.0,2011-10-10,"","",100,2011-10-10 16:02,"","",306650,"",""
30737,Security Guide,Task,"",Closed,Should have,Passwords: Tell the reader to store salted passwords (using saltedpasswords and rsaauth),Chris topher,Michael Schams,2012-03-22 17:16,"",1.0.0,2011-10-10,"","",100,2011-10-10 16:21,"","",306750,"",""
30739,Security Guide,Task,"",Closed,Should have,"Security Bulletins: Write down that people should not only subscribe, but also update quickly",Chris topher,Michael Schams,2012-03-22 17:16,"",1.0.0,2011-10-10,"","",100,2011-10-10 16:28,"","",306850,"",""
30745,Security Guide,Task,"",Closed,Should have,"Section ""Integrators"": Make the reader aware of the possibility to create SQL injections in TypoScript",Chris topher,Michael Schams,2012-03-22 17:16,"",1.0.0,2011-10-10,"","",100,2011-10-10 17:13,"","",307150,"",""
30782,Security Guide,Task,"",Closed,Should have,Verify statement: Some 500.000 websites are powered by TYPO3,Michael Schams,Michael Schams,2012-03-22 17:16,"",1.0.0,2011-10-11,"","",100,2011-10-11 12:15,"","",309000,"",""
30784,Security Guide,Task,"",Closed,Should have,Confirm statement: response in 24 hours,Michael Schams,Michael Schams,2012-03-22 17:16,"",1.0.0,2011-10-11,"","",100,2011-10-11 12:19,"","",309100,"",""
30785,Security Guide,Task,"",Closed,Should have,Explain encryption key,Michael Schams,Michael Schams,2012-03-22 17:16,"",1.0.0,2011-10-11,"","",100,2011-10-11 12:23,"","",309150,"",""
30786,Security Guide,Task,"",Closed,Should have,Tell about reports in TYPO3 BE,Michael Schams,Michael Schams,2012-03-22 17:16,"",1.0.0,2011-10-11,"","",100,2011-10-11 12:24,"","",309200,"",""
30787,Security Guide,Task,"",Closed,Should have,Recommend to delete ENABLE_INSTALL_TOOL,Michael Schams,Michael Schams,2012-03-22 17:16,"",1.0.0,2011-10-11,"","",100,2011-10-11 12:25,"","",309250,"",""
30788,Security Guide,Task,"",Closed,Should have,Explain how to check for extension updates,Michael Schams,Michael Schams,2012-03-22 17:16,"",1.0.0,2011-10-11,"","",100,2011-10-11 12:27,"","",309300,"",""
30789,Security Guide,Task,"",Closed,Should have,Recommend to remove unused extensions,Michael Schams,Michael Schams,2012-03-22 17:16,"",1.0.0,2011-10-11,"","",100,2011-10-11 12:28,"","",309350,"",""
30790,Security Guide,Task,"",Closed,Should have,Explain/recommend TYPO3 BE/FE configuration,Michael Schams,Michael Schams,2012-03-22 17:16,"",1.0.0,2011-10-11,"","",100,2011-10-11 12:33,"","",309400,"",""
30791,Security Guide,Task,"",Closed,Should have,"Explain risk of content element ""HTML code""",Michael Schams,Michael Schams,2012-03-22 17:16,"",1.0.0,2011-10-11,"","",100,2011-10-11 12:35,"","",309450,"",""
30792,Security Guide,Task,"",Closed,Should have,Tell about aspects for secure user accounts,Michael Schams,Michael Schams,2012-03-22 17:16,"",1.0.0,2011-10-11,"","",100,2011-10-11 12:38,"","",309500,"",""
30805,Extbase Book Translation,Task,Story #27890: Translate 10.1. Creating an extension with the kickstarter,Accepted,Must have,CURRENTLY TRANSLATING page 247 to 251 ,Daniel Mannheimer,Daniel Mannheimer,2012-02-20 01:12,"",English Version,"","","",0,2011-10-11 20:01,"","",310150,"",""
30810,Extbase Book Translation,Task,"",Resolved,Must have,Migrate DocBook to reStructredText,Fabien Udriot,Fabien Udriot,2011-10-13 10:46,"",English Version,2011-10-11,"","",100,2011-10-11 20:28,"","",310400,"",""
30816,Extbase Book Translation,Task,"",Resolved,Should have,Render automatically documentation,Fabien Udriot,Fabien Udriot,2011-10-12 19:08,"",English Version,2011-10-12,"","",100,2011-10-12 06:33,"","",310700,"",""
30817,Extbase Book Translation,Task,"",Resolved,Should have,Merge content from the Wiki,Fabien Udriot,Fabien Udriot,2011-10-12 18:41,"",English Version,2011-10-12,"","",100,2011-10-12 06:34,"","",310750,"",""
30895,TCA Reference,Task,"",Rejected,Should have,"Find new examples for the ""types"" description",Francois Suter,Francois Suter,2013-12-17 17:19,"","",2011-10-13,"","",0,2011-10-13 16:47,"","",314600,"",""
30938,Official Doc Extension Template,Task,"",Closed,Should have,Improve description about inline styles,Chris topher,Chris topher,2012-03-22 17:14,"",1.6.2,2011-10-14,"","",100,2011-10-14 16:57,"","",316650,"",""
31014,Extbase Book Translation,Task,"",Resolved,Should have,Add images,Fabien Udriot,Fabien Udriot,2011-10-17 19:00,"",English Version,2011-10-17,"","",100,2011-10-17 18:27,"","",320400,"",""
31053,TypoScript Syntax,Task,"",Closed,Should have,Publish doc_core_ts for TYPO3 4.3,Bart Dubelaar,Chris topher,2011-10-29 15:38,"","",2011-10-18,"","",100,2011-10-18 11:21,"","",322150,"",""
31133,TSconfig,Task,"",Closed,Should have,Documentation for #24616 needs an update,Chris topher,Christian Woebbeking,2011-10-27 21:07,"",4.6.0,2011-10-20,"","",100,2011-10-20 11:32,"","",326000,"",""
31204,Core APIs,Task,"",Closed,Should have,For TYPO3 4.6: Add information about XLIFF format,Chris topher,Francois Suter,2013-02-14 21:59,"",4.6.0,2011-10-23,"","",100,2011-10-23 20:48,"","",329550,"",""
31232,Templating Tutorial,Task,"",Under Review,Must have,Transfer content of the Wiki page into a reST document,Chris topher,Christian Woebbeking,2014-07-06 16:34,"",1.0.0,2011-10-24,"","",0,2011-10-24 17:48,"","",330950,"",""
31233,Templating Tutorial,Task,"",Resolved,Must have,Create screenshots,Chris topher,Chris topher,2013-01-29 19:36,"",1.0.0,2011-10-24,"","",100,2011-10-24 17:49,"","",331000,"",""
31234,Templating Tutorial,Task,"",Closed,Must have,After having finished the text: Check if everything is understandable,Chris topher,Christian Woebbeking,2013-02-01 09:39,"",1.0.0,2011-10-24,"","",0,2011-10-24 17:50,"","",331050,"",""
31235,Templating Tutorial,Task,"",Closed,Must have,Write the texts,Chris topher,Christian Woebbeking,2013-02-01 09:38,"",1.0.0,2011-10-24,"","",0,2011-10-24 17:53,"","",331100,"",""
31257,Security Guide,Task,"",Closed,Should have,extension security updates without security bulletin,Michael Schams,Michael Schams,2012-03-22 17:16,"",1.0.0,2011-10-25,"","",100,2011-10-25 05:20,"","",332200,"",""
31351,TSconfig,Task,"",Closed,Must have,Prepare release of TSconfig for TYPO3 4.6,Chris topher,Chris topher,2011-10-27 21:07,"",4.6.0,2011-10-27,"","",100,2011-10-27 17:29,"","",336800,"",""
31384,Templating Tutorial,Task,"",Closed,Should have,Apply correct formatting,Chris topher,Christian Woebbeking,2013-02-01 09:40,"",1.0.0,2011-10-28,"","",0,2011-10-28 17:43,"","",338450,"",""
31387,TCA Reference,Task,"",Closed,Must have,Update for TYPO3 4.5,Francois Suter,Francois Suter,2011-10-30 19:49,"",4.5.0,2011-10-28,"","",100,2011-10-28 18:09,"","",338600,"",""
31395,TypoScript Syntax,Task,"",Closed,Should have,Update screenshots for TYPO3 4.5,Chris topher,Chris topher,2011-11-02 22:46,"","",2011-10-29,"","",100,2011-10-29 15:23,"","",339000,"",""
31398,TypoScript Syntax,Task,"",Rejected,Should have,"TYPO3 4.4: Check the example using ""styles.content.textStyle""",Chris topher,Chris topher,2011-10-30 20:05,"","",2011-10-29,"","",100,2011-10-29 20:08,"","",339150,"",""
31399,TypoScript Syntax,Task,"",Closed,Should have,Point out that some of the used templates now are part of the system extension statictemplates,Chris topher,Chris topher,2011-10-30 20:22,"","",2011-10-29,"","",100,2011-10-29 20:09,"","",339200,"",""
31401,TypoScript Syntax,Task,"",Closed,Should have,"Add a ""TSconfig"" section",Chris topher,Chris topher,2015-12-07 20:55,"","",2011-10-29,"","",100,2011-10-29 20:40,"","",339300,"",""
31408,Security Guide,Task,"",Rejected,Should have,"clarify recommendation in Install Tool at ""fileDenyPattern""",Michael Schams,Michael Schams,2011-11-08 11:27,"","",2011-10-30,"","",0,2011-10-30 01:57,"","",339650,"",""
31409,TypoScript Syntax,Task,"",Closed,Should have,TYPO3 4.6: Update language label,Chris topher,Chris topher,2011-11-03 17:01,"","",2011-10-30,"","",100,2011-10-30 02:28,"","",339700,"",""
31411,TYPO3 Services,Task,"",New,Should have,Add screenshot of Reports module,Francois Suter,"",2011-10-30 10:56,"","",2011-10-30,"","",0,2011-10-30 10:56,"","",339800,"",""
31413,TYPO3 Services,Task,"",New,Should have,Add a chapter about authentication services,Francois Suter,"",2011-12-29 15:08,"","",2011-10-30,"","",0,2011-10-30 11:00,"","",339900,"",""
31415,TypoScript Syntax,Task,"",Closed,Should have,Replace a broken link with an abstract of the linked document,Chris topher,Chris topher,2011-10-30 20:22,"","",2011-10-30,"","",100,2011-10-30 11:59,"","",340000,"",""
31421,TypoScript Syntax,Task,"",Closed,Should have,"Update the pointer to ""Modern Template Building""",Chris topher,Chris topher,2013-04-11 19:06,"","",2011-10-30,"","",100,2011-10-30 12:24,"","",340300,"",""
31422,TypoScript Syntax,Task,"",Closed,Should have,Add a note that a cObject FLUIDTEMPLATE is available since TYPO3 4.5,Chris topher,Chris topher,2011-11-02 22:46,"","",2011-10-30,"","",100,2011-10-30 12:45,"","",340350,"",""
31423,TCA Reference,Task,"",Closed,Must have,Release version 4.5.0,Francois Suter,Francois Suter,2011-10-30 19:49,"",4.5.0,2011-10-30,"","",100,2011-10-30 12:52,"","",340400,"",""
31424,Core APIs,Task,"",Closed,Must have,Release a version without TCA reference,Francois Suter,Francois Suter,2011-10-30 19:50,"",4.3.1,2011-10-31,2011-10-31,"",100,2011-10-30 12:53,"","",340450,"",""
31426,TypoScript Syntax,Task,"",Closed,Should have,Check functions of extdeveval,Chris topher,Chris topher,2011-10-30 20:22,"","",2011-10-30,"","",100,2011-10-30 13:37,"","",340550,"",""
31427,TypoScript Syntax,Task,"",Closed,Should have,Update statements about connecting conditions using OR and AND,Chris topher,Chris topher,2011-10-30 20:22,"","",2011-10-30,"","",100,2011-10-30 15:07,"","",340600,"",""
31428,TypoScript Syntax,Task,"",Closed,Should have,Publish doc_core_ts for TYPO3 4.4,Chris topher,Chris topher,2011-10-30 20:22,"","",2011-10-30,"","",100,2011-10-30 15:08,"","",340650,"",""
31429,TypoScript Syntax,Task,"",Rejected,Should have,"Remove repetitions from the section ""TypoScript syntax, object paths, objects and properties""",Chris topher,Chris topher,2011-10-30 15:45,"","",2011-10-30,"","",100,2011-10-30 15:39,"","",340700,"",""
31430,TypoScript Syntax,Task,"",Closed,Should have,Move the manual to the new template,Chris topher,Chris topher,2011-10-30 20:22,"","",2011-10-30,"","",100,2011-10-30 16:03,"","",340750,"",""
