mediawiki001284	100
mediawiki001307	100
mediawiki001308	98
mediawiki001589	101
mediawiki001640	56
mediawiki001695	103
mediawiki001911	106
mediawiki002190	107
mediawiki002294	80
mediawiki002473	81
mediawiki002493	111
mediawiki002685	111
mediawiki002687	110
mediawiki002830	110
mediawiki003204	111
mediawiki003513	115
mediawiki003516	118
mediawiki003582	122
mediawiki003626	122
mediawiki004073	123
mediawiki004083	123
mediawiki004139	125
mediawiki004318	125
mediawiki004321	130
mediawiki004332	131
mediawiki004570	132
mediawiki004571	132
mediawiki004619	133
mediawiki004919	140
mediawiki004925	141
mediawiki005210	141
mediawiki005532	142
mediawiki005541	141
mediawiki005552	142
mediawiki005648	147
mediawiki006057	9
mediawiki006058	9
mediawiki006069	147
mediawiki006072	148
mediawiki006445	148
mediawiki006696	148
mediawiki006710	142
mediawiki007055	143
mediawiki007467	143
mediawiki007515	142
mediawiki007649	143
mediawiki007653	144
mediawiki007755	144
mediawiki007964	145
mediawiki008007	146
mediawiki008230	154
mediawiki008516	155
mediawiki008643	158
mediawiki008772	159
mediawiki008792	158
mediawiki008793	156
mediawiki008794	156
mediawiki008798	156
mediawiki008818	156
mediawiki009042	156
mediawiki009116	157
mediawiki009199	160
mediawiki009268	156
mediawiki009276	154
mediawiki009335	154
mediawiki009367	148
mediawiki009399	148
mediawiki009469	151
mediawiki009474	151
mediawiki009536	152
mediawiki009636	152
mediawiki009649	154
mediawiki009915	155
mediawiki010000	155
mediawiki010252	160
mediawiki010255	161
mediawiki010484	161
mediawiki010579	161
mediawiki011002	161
mediawiki011357	161
mediawiki011361	161
mediawiki011711	161
mediawiki011887	67
mediawiki011892	163
mediawiki012207	164
mediawiki012208	164
mediawiki012301	167
mediawiki012874	170
mediawiki012922	173
mediawiki012995	173
mediawiki013088	178
mediawiki013197	178
mediawiki013378	179
mediawiki013551	179
mediawiki013575	182
mediawiki013683	184
mediawiki013685	184
mediawiki014777	204
mediawiki014885	197
mediawiki015093	197
mediawiki015094	197
mediawiki015157	197
mediawiki015462	197
mediawiki015482	199
mediawiki015489	199
mediawiki015521	199
mediawiki015776	199
mediawiki015779	199
mediawiki016524	200
mediawiki016526	199
mediawiki017217	200
mediawiki017244	203
mediawiki017253	209
mediawiki017338	210
mediawiki017355	209
mediawiki017356	210
mediawiki017486	210
mediawiki017547	210
mediawiki017852	79
mediawiki017854	210
mediawiki017968	210
mediawiki017969	210
mediawiki018237	212
mediawiki018325	213
mediawiki018335	213
mediawiki018480	213
mediawiki018481	213
mediawiki019095	219
mediawiki019121	219
mediawiki019569	219
mediawiki019703	221
mediawiki019783	221
mediawiki019843	30
mediawiki019848	221
mediawiki020054	221
mediawiki020222	222
mediawiki020301	30
mediawiki020393	223
mediawiki020468	232
mediawiki020470	233
mediawiki020536	233
mediawiki021466	233
mediawiki021954	238
mediawiki021957	233
mediawiki021958	233
mediawiki022597	238
mediawiki022816	239
mediawiki023028	239
mediawiki023228	239
mediawiki023239	239
mediawiki023247	239
mediawiki023303	239
mediawiki023916	239
mediawiki023917	239
mediawiki024313	99
mediawiki024315	241
mediawiki024343	242
mediawiki024456	243
mediawiki024492	242
mediawiki024607	151
mediawiki024630	242
mediawiki024699	242
mediawiki024731	242
mediawiki025218	151
mediawiki025219	242
mediawiki025267	242
mediawiki025290	242
mediawiki025527	242
mediawiki025602	243
mediawiki025635	242
mediawiki028385	242
mediawiki028386	249
mediawiki028446	249
mediawiki028570	249
mediawiki028986	251
mediawiki029128	249
mediawiki031057	85
mediawiki031113	85
mediawiki031162	85
mediawiki031221	253
mediawiki032084	254
mediawiki032085	260
mediawiki032168	260
mediawiki032222	260
mediawiki033027	260
mediawiki033149	261
mediawiki033478	262
mediawiki033480	262
mediawiki033504	261
mediawiki033508	261
mediawiki033520	262
mediawiki034551	262
mediawiki034637	262
