Project	MonthsPastV0	AvgTimeLag	AvgSrcLag	TimeLagsSchemaAlways?	SrcLagsSchemaAlways?	TimeLagsSchemaOccurrences	SrcLagsSchemaOccurrences	TimeLagsSchemaPct	SrcLagsSchemaPct
cumulative_foodcoopshop__foodcoopshop.tsv	31	-0.04625806451612902	0.0016126602272037653	false	false	17	16	0.5483870967741935	0.5161290322580645
cumulative_gem__oq-engine.tsv	106	-0.12277447131822213	-0.12354583396207086	false	false	40	39	0.37735849056603776	0.36792452830188677
cumulative_georgringer__logging.tsv	31	0.5118279569892474	0.24135649296939607	true	true	31	31	1.0	1.0
cumulative_GoBelieveIO__im_service.tsv	59	0.3338041431261772	0.26335608137084887	false	false	52	50	0.8813559322033898	0.847457627118644
cumulative_goproj__note.tsv	1	1.0	0.08556149732620322	true	true	1	1	1.0	1.0
cumulative_gousiosg__github-mirror.tsv	84	-0.0600726106045255	-0.17695830673235682	false	false	39	38	0.4642857142857143	0.4523809523809524
cumulative_guardian__alerta.tsv	86	-0.27900444212176634	-0.46276644117270516	false	false	16	13	0.18604651162790697	0.1511627906976744
cumulative_gugoan__economizzer.tsv	44	0.32085253456221197	-0.02438598575486298	true	false	44	33	1.0	0.75
cumulative_h2oai__steam.tsv	36	0.3902777777777778	-0.029858167718438786	false	false	33	31	0.9166666666666666	0.8611111111111112
cumulative_HaliteChallenge__Halite-II.tsv	40	-0.042573529411764746	-0.1382069734236722	false	false	19	16	0.475	0.4
cumulative_hugodias__cakegallery.tsv	15	0.42539682539682544	0.12284427284427289	true	false	15	14	1.0	0.9333333333333333
cumulative_hurad__hurad.tsv	19	-0.02343358395989972	-0.2395467764088868	false	false	11	2	0.5789473684210527	0.10526315789473684
cumulative_HXLStandard__hxl-proxy.tsv	50	-0.23	-0.41545173479903835	false	false	14	13	0.28	0.26
cumulative_IamBc__abc.tsv	5	0.3948717948717949	0.26857620945912697	true	true	5	5	1.0	1.0
cumulative_ichthus-soft__bible-api.tsv	8	0.5625	0.29824561403508776	true	true	8	8	1.0	1.0
cumulative_imbo__imbo.tsv	94	0.031056966369251898	-0.15315697858888258	false	false	56	25	0.5957446808510638	0.26595744680851063
cumulative_imsamurai__cakephp-task-plugin.tsv	32	0.35202205882352955	0.1677205882352941	false	false	31	18	0.96875	0.5625
cumulative_intelliants__subrion.tsv	76	0.02342983316977432	-0.010218200015886712	false	false	51	32	0.6710526315789473	0.42105263157894735
cumulative_ironsmile__httpms.tsv	64	0.4236778846153848	0.40860678673178685	true	true	64	64	1.0	1.0
cumulative_jadekler__git-go-d3-concertsap.tsv	1	0.9555555555555556	0.2841099163679809	true	true	1	1	1.0	1.0
cumulative_jalkoby__squasher.tsv	62	-0.20161290322580644	-0.30606575088748283	false	false	19	18	0.3064516129032258	0.2903225806451613
cumulative_jaredbeck__paper_trail-sinatra.tsv	27	0.3447293447293447	0.32318739461596596	false	false	25	24	0.9259259259259259	0.8888888888888888
cumulative_jasdel__harvester.tsv	0	NaN	NaN	true	true	0	0	NaN	NaN
cumulative_jasongrimes__silex-simpleuser.tsv	23	0.07246376811594203	0.0903054448871182	false	true	15	23	0.6521739130434783	1.0
cumulative_jaybennett89__thorium-go.tsv	48	0.3568313953488372	0.17047899421889376	false	false	42	41	0.875	0.8541666666666666
cumulative_jcoppieters__cody.tsv	57	0.19115971747550695	-0.15687767638938369	false	false	40	36	0.7017543859649122	0.631578947368421
cumulative_jessemillar__stalks.tsv	7	0.5714285714285715	0.05115207373271898	true	true	7	7	1.0	1.0
cumulative_jgauffin__griffin.mvccontrib.tsv	62	0.4435483870967742	0.044022306737344065	false	false	59	58	0.9516129032258065	0.9354838709677419
cumulative_jingweno__jqplay.tsv	56	-0.09821428571428571	-0.08459602284111398	false	false	23	22	0.4107142857142857	0.39285714285714285
cumulative_jmcneese__bitmasked.tsv	48	0.17708333333333334	-0.1013257575757575	false	false	33	32	0.6875	0.6666666666666666
cumulative_joomlatools__joomla-platform-categories.tsv	34	0.46231617647058815	0.20273256774619972	true	true	34	34	1.0	1.0
