Date	Author	NumAffectedFiles	Contains .sql
2017-04	Mārtiņš	343	1
2017-05	Mārtiņš,samayo	311	3
2017-06	Mārtiņš	16	0
2017-07	Mārtiņš,Jeremy	8	0
2017-08	Mārtiņš	4	0
2017-09	Mārtiņš	25	0
2017-10	Mārtiņš	2	0
2017-11	Mārtiņš	1	0
2018-02	Mārtiņš	63	0
2018-03	Mārtiņš	19	0
2018-05	Mārtiņš	2	0
2019-01	Mārtiņš,Sergey	18	0
