Date;hash;release
1230124299;1ef96b504de3ede41f17ca9a1c0e2e50fc4e6ff4;refs/tags/olympus_merge_point_20082412
1062079813;2f0a6d86f6a74e4512c86ebfaff6097753b09768;refs/tags/olympus_milestone_2
1128462440;22bb74f32ffc55aac44eefde5c7180988ba47398;refs/tags/olympus_milestone_3
1142771050;65e1e522899a8eafba8ece7e1eb4c6b6cfa80708;refs/tags/olympus_milestone_4
1016583728;41ca5aef1e00b0900ce984ac735aee9200ac924e;refs/tags/phpbb2_RC4_release_point
1016587404;f225d38572e448d62fb458c03af44dfbbfb1a5e6;refs/tags/phpbb2_RC4_release_point_2
1016587404;c368829e74d994a6de92ce7de6841ef4c44e96d0;refs/tags/phpbb2_RC4_release_point_3
1019255947;5231db030679958937399fc4373b85a43c3fe038;refs/tags/phpbb2_merge_point_20020420
1017932454;8973ea989336190ad6f5ba4ee4ca5fc4f9212e1a;refs/tags/release-2.0.0
1021902732;012267ad5e959018109344c1d5ef720a62aa3fb5;refs/tags/release-2.0.1
1090072372;cfb5d59ce09c5648430edcd4344c1af15558e197;refs/tags/release-2.0.10
1100800188;353104008e23bcea02d3267a32c60277998e983e;refs/tags/release-2.0.11
1109014170;9f60ad70366c69961bd79f51b9c88e49785cdb69;refs/tags/release-2.0.12
1109546768;12b8694b0335a434fa45ecdca65f90b99a5f8657;refs/tags/release-2.0.13
1113852802;3225f49d325a51602a22899097b856416a6da29a;refs/tags/release-2.0.14
1116017946;789f5645a12ab155c4ea345adf0ed94bafc90746;refs/tags/release-2.0.15
1119941470;e3841f3be9319123cd1860d185522ada0be69d65;refs/tags/release-2.0.16
1123512926;7944f41f6b354570e36e050aa2eea1794cee80fd;refs/tags/release-2.0.17
1130743866;662c839e43efd4ff05932b705f84ac129cfb1529;refs/tags/release-2.0.18
1135936262;89287622bb690c7901514fd4b825a7d5a5121e77;refs/tags/release-2.0.19
1028830013;435058a7be44f046de5ce2924baf8201af9c7167;refs/tags/release-2.0.2
1144240943;ffc03f5272e01a3947e0f44c11605e9253c5cd30;refs/tags/release-2.0.20
1149023860;25e02c123ddf7433834298a6b3e6b5ac6b5b1996;refs/tags/release-2.0.21
1166900326;03872f88cbcf18a301f39db846b838ccbdfba761;refs/tags/release-2.0.22
1203867447;2acb0c3023b2febc5aaea28f0f1e9133bef4ea86;refs/tags/release-2.0.23
1033219793;7f92dd057bd731e857a636c7f4a22b0f6ed430a1;refs/tags/release-2.0.3
1042637513;f67c874cafd92e03c0a30c150aae93706315a8b3;refs/tags/release-2.0.4
1055698855;f102219c516a82336a571bbfae8dc44455804dc6;refs/tags/release-2.0.5
1059911452;c183ce616d000d5465fb339f8d79ae9d981e234f;refs/tags/release-2.0.6
1079190579;f9ead967a483c72979144e78bb6058b5c71c448f;refs/tags/release-2.0.7
1080230240;b93983a479bc1f83a73d7d18a1a112f3506fd165;refs/tags/release-2.0.8
1080491931;7871bf719ea45c3dd1ab81859e295086a2883736;refs/tags/release-2.0.8a
1089584307;3de2c07234908be8b1efe37614c9b876800f603b;refs/tags/release-2.0.9
1150576241;c9f68f0b5c339cf7c0126eef8e7c533a0107bd66;refs/tags/release-3.0-B1
1155414265;108312d52a447e3ad5a2e8d1682f0439e5443cf0;refs/tags/release-3.0-B2
1163360736;5cfa0ec0c32ddc424f9651d8766db3e4ced59f96;refs/tags/release-3.0-B3
1164663716;80d429a02d26da1f00777e62a0268d83f581f598;refs/tags/release-3.0-B4
1170003603;7068d8b462e388ea87883c5203a28fa6a8e4b6dc;refs/tags/release-3.0-B5
1179673157;19c923cf1bb21bf5fa13b18c0f481c0cf05216e7;refs/tags/release-3.0-RC1
1182703092;4319ebbaf6d029bdbb1a9bc6c33c66e62cd486a2;refs/tags/release-3.0-RC2
1183912788;aadda939732ee163c3babedf4afcd914af12a2cc;refs/tags/release-3.0-RC3
1185640859;e02e530204a31c7723a73cbfcdba0d6132b1a175;refs/tags/release-3.0-RC4
1187979975;f1e54d97fc421ed591411bc06bfc8e70b7190d03;refs/tags/release-3.0-RC5
1192278653;b5535db081dca0187caae84cf7ffd8d6045dccba;refs/tags/release-3.0-RC6
1192403422;438f31326a16cbdbc93c46042fa8a7e4e1be0f63;refs/tags/release-3.0-RC7
1196514997;0aef1e57a73ef4c7086cf24ed154e8d5bbbac679;refs/tags/release-3.0-RC8
1197478014;7ecd17a99310df2fecea2967ec6f97bb6b63a2e3;refs/tags/release-3.0.0
1207657312;4ff33f5d49597e5168223cf17b0d595b4df3b8da;refs/tags/release-3.0.1
1206532053;21ce0215193d34a5f689209c80f6db3ef7cb84c5;refs/tags/release-3.0.1-RC1
1325526835;092682070dd9dbf95a2284bd413b28c06cce44d7;refs/tags/release-3.0.10
1321830529;458aa7679d8b0846fbc6c9e04fbfcf7a70528572;refs/tags/release-3.0.10-RC1
1322407395;1122356131a1a14ad44c4b2a54d020569a0e8655;refs/tags/release-3.0.10-RC2
1324055026;0342f6b9ab1d76f92fda196e758134b93cd2848d;refs/tags/release-3.0.10-RC3
1345475358;73358d4a638619a857904a038337f276481c95fb;refs/tags/release-3.0.11
1338490600;bad4f8f11058d51de4cc1f882255d2e75574a64c;refs/tags/release-3.0.11-RC1
1343079375;e0b2b8293adbfe7c2fc1d914345efeea2b0fc5b2;refs/tags/release-3.0.11-RC2
1380375610;96b3c37c49e3647adce330e69eeb1e46e409a8d7;refs/tags/release-3.0.12
1373736609;daff5d403f385dffda6da3d21289952347ebbafb;refs/tags/release-3.0.12-RC1
1375371592;fa2acb990e488a527e0bdbedeb4c322e84aa42bb;refs/tags/release-3.0.12-RC2
1378158165;c65523a356b77a637898226337862bc62dae9dd5;refs/tags/release-3.0.12-RC3
1422295461;b66b301910f2565d51c4ca267406d52a13f26f75;refs/tags/release-3.0.13
1422577954;f612cbe9532773adefd73dbd51b2c7fc13236dee;refs/tags/release-3.0.13-PL1
