;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;
t_schema_vers;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;
t_vo_acl;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;
t_transfer;0;0;0;0;0;0;0;11;11;11;11;11;11;11;11;11;11;
t_channel_acl;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;
t_channel;6;7;9;9;10;10;10;10;10;10;10;10;10;10;10;10;10;
t_job_log;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
t_channel_vo_share;0;0;0;0;0;0;0;3;3;3;3;3;3;3;3;3;3;
t_logical;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
t_file;9;10;12;13;15;15;15;11;11;12;12;12;12;12;12;12;12;
t_agent;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;
t_job;6;9;10;10;10;10;12;14;14;14;14;14;14;15;15;15;15;
t_trace;0;0;0;0;0;0;0;5;5;5;5;5;5;5;5;5;5;
