table;dur;birth;death;chngs;s@s;s@e;sAvg
t_agent;1;16;-;0;8;8;8.0
t_job_log;2;0;1;0;6;6;6.0
t_channel_acl;10;7;-;0;2;2;2.0
t_channel;17;0;-;15;6;10;9.470589
t_vo_acl;3;14;-;2;2;2;2.0
t_channel_vo_share;10;7;-;0;3;3;3.0
t_file;17;0;-;20;9;12;12.176471
t_trace;10;7;-;2;5;5;5.0
t_logical;2;0;1;0;4;4;4.0
t_schema_vers;17;0;-;0;3;3;3.0
t_transfer;10;7;-;3;11;11;11.0
t_job;17;0;-;17;6;15;12.411765
