;0;1;2;3;4;
nucleus_actionlog;2;2;2;2;2;
nucleus_activation;5;5;5;5;5;
nucleus_ban;3;3;3;3;3;
nucleus_blog;19;19;19;19;19;
nucleus_category;4;4;4;4;4;
nucleus_comment;11;11;11;11;11;
nucleus_config;2;2;2;2;2;
nucleus_item;13;13;13;13;13;
nucleus_karma;2;2;2;2;2;
nucleus_member;12;12;12;14;14;
nucleus_plugin;3;3;3;3;3;
nucleus_plugin_event;2;2;2;2;2;
nucleus_plugin_option;3;3;3;3;3;
nucleus_plugin_option_desc;8;8;8;8;8;
nucleus_skin;3;3;3;3;3;
nucleus_skin_desc;6;6;6;6;6;
nucleus_team;3;3;3;3;3;
nucleus_template;3;3;3;3;3;
nucleus_template_desc;3;3;3;3;3;
nucleus_tickets;3;3;3;3;3;
