trID;time;oldVer;newVer;#oldT;#newT;#oldA;#newA;tIns;tDel;aIns;aDel;aTypeAlt;keyAlt;aTabIns;aTabDel
1;rev_000696;rev_000008.sql;rev_000696.sql;31;31;227;227;0;0;0;0;0;0;0;0
2;rev_000833;rev_000696.sql;rev_000833.sql;31;31;227;227;0;0;0;0;0;0;0;0
3;rev_001017;rev_000833.sql;rev_001017.sql;31;31;227;227;0;0;0;0;0;0;0;0
4;rev_001228;rev_001017.sql;rev_001228.sql;31;31;227;227;0;0;0;0;3;0;0;0
5;rev_001388;rev_001228.sql;rev_001388.sql;31;32;227;230;1;0;0;0;0;0;3;0
6;rev_001436;rev_001388.sql;rev_001436.sql;32;32;230;230;0;0;3;3;0;0;0;0
7;rev_001503;rev_001436.sql;rev_001503.sql;32;32;230;230;0;0;0;0;0;0;0;0
