Month	SchActivity	PrjActivity	cumulPtime	cumulSchActivity	cumulPrjActivity)	timeLagOverSchema	srcLagOverSchema
0	13	51	0.0	0.48148148148148145	0.25757575757575757	0.48148148148148145	0.22390572390572389	
1	14	98	0.038461538461538464	1.0	0.7525252525252526	0.9615384615384616	0.2474747474747474	
2	0	21	0.07692307692307693	1.0	0.8585858585858587	0.9230769230769231	0.14141414141414133	
3	0	1	0.11538461538461539	1.0	0.8636363636363638	0.8846153846153846	0.13636363636363624	
4	0	22	0.15384615384615385	1.0	0.9747474747474749	0.8461538461538461	0.025252525252525082	
5	0	0	0.19230769230769232	1.0	0.9747474747474749	0.8076923076923077	0.025252525252525082	
6	0	0	0.23076923076923078	1.0	0.9747474747474749	0.7692307692307692	0.025252525252525082	
7	0	0	0.2692307692307692	1.0	0.9747474747474749	0.7307692307692308	0.025252525252525082	
8	0	0	0.3076923076923077	1.0	0.9747474747474749	0.6923076923076923	0.025252525252525082	
9	0	0	0.34615384615384615	1.0	0.9747474747474749	0.6538461538461539	0.025252525252525082	
10	0	0	0.38461538461538464	1.0	0.9747474747474749	0.6153846153846154	0.025252525252525082	
11	0	0	0.4230769230769231	1.0	0.9747474747474749	0.5769230769230769	0.025252525252525082	
12	0	0	0.46153846153846156	1.0	0.9747474747474749	0.5384615384615384	0.025252525252525082	
13	0	0	0.5	1.0	0.9747474747474749	0.5	0.025252525252525082	
14	0	0	0.5384615384615384	1.0	0.9747474747474749	0.46153846153846156	0.025252525252525082	
15	0	0	0.5769230769230769	1.0	0.9747474747474749	0.42307692307692313	0.025252525252525082	
16	0	0	0.6153846153846154	1.0	0.9747474747474749	0.3846153846153846	0.025252525252525082	
17	0	0	0.6538461538461539	1.0	0.9747474747474749	0.34615384615384615	0.025252525252525082	
18	0	0	0.6923076923076923	1.0	0.9747474747474749	0.3076923076923077	0.025252525252525082	
19	0	1	0.7307692307692307	1.0	0.97979797979798	0.2692307692307693	0.02020202020202	
20	0	0	0.7692307692307693	1.0	0.97979797979798	0.23076923076923073	0.02020202020202	
21	0	0	0.8076923076923077	1.0	0.97979797979798	0.1923076923076923	0.02020202020202	
22	0	0	0.8461538461538461	1.0	0.97979797979798	0.15384615384615385	0.02020202020202	
23	0	0	0.8846153846153846	1.0	0.97979797979798	0.11538461538461542	0.02020202020202	
24	0	0	0.9230769230769231	1.0	0.97979797979798	0.07692307692307687	0.02020202020202	
25	0	0	0.9615384615384616	1.0	0.97979797979798	0.038461538461538436	0.02020202020202	
26	0	4	1.0	1.0	1.0000000000000002	0.0	-2.220446049250313E-16	
