Month	SchActivity	PrjActivity	cumulPtime	cumulSchActivity	cumulPrjActivity)	timeLagOverSchema	srcLagOverSchema
0	23	30	0.0	0.6764705882352942	0.07058823529411765	0.6764705882352942	0.6058823529411765	
1	0	19	0.03125	0.6764705882352942	0.11529411764705882	0.6452205882352942	0.5611764705882354	
2	0	1	0.0625	0.6764705882352942	0.11764705882352941	0.6139705882352942	0.5588235294117647	
3	0	0	0.09375	0.6764705882352942	0.11764705882352941	0.5827205882352942	0.5588235294117647	
4	0	0	0.125	0.6764705882352942	0.11764705882352941	0.5514705882352942	0.5588235294117647	
5	0	0	0.15625	0.6764705882352942	0.11764705882352941	0.5202205882352942	0.5588235294117647	
6	1	28	0.1875	0.7058823529411765	0.18352941176470589	0.5183823529411765	0.5223529411764707	
7	0	98	0.21875	0.7058823529411765	0.41411764705882353	0.4871323529411765	0.291764705882353	
8	0	0	0.25	0.7058823529411765	0.41411764705882353	0.4558823529411765	0.291764705882353	
9	2	12	0.28125	0.7647058823529412	0.4423529411764706	0.48345588235294124	0.3223529411764706	
10	0	2	0.3125	0.7647058823529412	0.4470588235294118	0.45220588235294124	0.31764705882352945	
11	0	6	0.34375	0.7647058823529412	0.4611764705882353	0.42095588235294124	0.30352941176470594	
12	0	17	0.375	0.7647058823529412	0.5011764705882353	0.38970588235294124	0.2635294117647059	
13	0	52	0.40625	0.7647058823529412	0.6235294117647059	0.35845588235294124	0.14117647058823535	
14	0	4	0.4375	0.7647058823529412	0.6329411764705882	0.32720588235294124	0.131764705882353	
15	6	113	0.46875	0.9411764705882354	0.8988235294117647	0.4724264705882354	0.042352941176470704	
16	0	10	0.5	0.9411764705882354	0.9223529411764706	0.4411764705882354	0.018823529411764794	
17	0	0	0.53125	0.9411764705882354	0.9223529411764706	0.4099264705882354	0.018823529411764794	
18	0	18	0.5625	0.9411764705882354	0.9647058823529412	0.3786764705882354	-0.0235294117647058	
19	0	0	0.59375	0.9411764705882354	0.9647058823529412	0.3474264705882354	-0.0235294117647058	
20	0	10	0.625	0.9411764705882354	0.9882352941176471	0.3161764705882354	-0.04705882352941171	
21	0	0	0.65625	0.9411764705882354	0.9882352941176471	0.2849264705882354	-0.04705882352941171	
22	0	2	0.6875	0.9411764705882354	0.9929411764705883	0.2536764705882354	-0.051764705882352935	
23	0	2	0.71875	0.9411764705882354	0.9976470588235296	0.2224264705882354	-0.05647058823529416	
24	0	0	0.75	0.9411764705882354	0.9976470588235296	0.1911764705882354	-0.05647058823529416	
25	0	0	0.78125	0.9411764705882354	0.9976470588235296	0.1599264705882354	-0.05647058823529416	
26	0	0	0.8125	0.9411764705882354	0.9976470588235296	0.1286764705882354	-0.05647058823529416	
27	0	0	0.84375	0.9411764705882354	0.9976470588235296	0.09742647058823539	-0.05647058823529416	
28	0	0	0.875	0.9411764705882354	0.9976470588235296	0.06617647058823539	-0.05647058823529416	
29	0	0	0.90625	0.9411764705882354	0.9976470588235296	0.03492647058823539	-0.05647058823529416	
30	0	0	0.9375	0.9411764705882354	0.9976470588235296	0.003676470588235392	-0.05647058823529416	
31	0	0	0.96875	0.9411764705882354	0.9976470588235296	-0.027573529411764608	-0.05647058823529416	
32	2	1	1.0	1.0	1.0000000000000002	0.0	-2.220446049250313E-16	
