Month	SchActivity	PrjActivity	cumulPtime	cumulSchActivity	cumulPrjActivity)	timeLagOverSchema	srcLagOverSchema
0	0	4	0.0	0.0	0.001063264221158958	0.0	-0.001063264221158958	
1	0	160	0.025	0.0	0.04359383306751728	-0.025	-0.04359383306751728	
2	0	102	0.05	0.0	0.07070707070707072	-0.05	-0.07070707070707072	
3	0	210	0.075	0.0	0.12652844231791602	-0.075	-0.12652844231791602	
4	0	78	0.1	0.0	0.1472620946305157	-0.1	-0.1472620946305157	
5	0	73	0.125	0.0	0.16666666666666669	-0.125	-0.16666666666666669	
6	0	54	0.15	0.0	0.1810207336523126	-0.15	-0.1810207336523126	
7	0	162	0.175	0.0	0.2240829346092504	-0.175	-0.2240829346092504	
8	0	38	0.2	0.0	0.23418394471026052	-0.2	-0.23418394471026052	
9	0	85	0.225	0.0	0.2567783094098884	-0.225	-0.2567783094098884	
10	0	63	0.25	0.0	0.27352472089314195	-0.25	-0.27352472089314195	
11	0	100	0.275	0.0	0.3001063264221159	-0.275	-0.3001063264221159	
12	0	98	0.3	0.0	0.32615629984051037	-0.3	-0.32615629984051037	
13	0	32	0.325	0.0	0.33466241360978205	-0.325	-0.33466241360978205	
14	0	51	0.35	0.0	0.34821903242955876	-0.35	-0.34821903242955876	
15	0	125	0.375	0.0	0.3814460393407762	-0.375	-0.3814460393407762	
16	0	39	0.4	0.0	0.39181286549707606	-0.4	-0.39181286549707606	
17	0	56	0.425	0.0	0.40669856459330145	-0.425	-0.40669856459330145	
18	0	86	0.45	0.0	0.42955874534821903	-0.45	-0.42955874534821903	
19	0	651	0.475	0.0	0.6026049973418395	-0.475	-0.6026049973418395	
20	26	201	0.5	0.7428571428571429	0.6560340244550771	0.24285714285714288	0.0868231184020658	
21	6	125	0.525	0.9142857142857144	0.6892610313662946	0.38928571428571435	0.2250246829194198	
22	2	178	0.55	0.9714285714285715	0.7365762892078682	0.4214285714285715	0.2348522822207033	
23	0	37	0.575	0.9714285714285715	0.7464114832535885	0.3964285714285716	0.225017088174983	
24	0	90	0.6	0.9714285714285715	0.7703349282296651	0.37142857142857155	0.20109364319890644	
25	0	58	0.625	0.9714285714285715	0.78575225943647	0.34642857142857153	0.18567631199210155	
26	1	217	0.65	1.0	0.8434343434343434	0.35	0.15656565656565657	
27	0	28	0.675	1.0	0.8508771929824561	0.32499999999999996	0.14912280701754388	
28	0	60	0.7	1.0	0.8668261562998405	0.30000000000000004	0.1331738437001595	
29	0	33	0.725	1.0	0.8755980861244019	0.275	0.12440191387559807	
30	0	28	0.75	1.0	0.8830409356725146	0.25	0.11695906432748537	
31	0	97	0.775	1.0	0.9088250930356193	0.22499999999999998	0.09117490696438069	
32	0	31	0.8	1.0	0.9170653907496013	0.19999999999999996	0.08293460925039875	
33	0	15	0.825	1.0	0.9210526315789473	0.17500000000000004	0.07894736842105265	
34	0	10	0.85	1.0	0.9237107921318447	0.15000000000000002	0.0762892078681553	
35	0	69	0.875	1.0	0.9420520999468367	0.125	0.057947900053163304	
36	0	12	0.9	1.0	0.9452418926103135	0.09999999999999998	0.05475810738968645	
37	0	119	0.925	1.0	0.9768740031897926	0.07499999999999996	0.02312599681020744	
38	0	19	0.95	1.0	0.9819245082402976	0.050000000000000044	0.018075491759702356	
39	0	31	0.975	1.0	0.9901648059542796	0.025000000000000022	0.009835194045720419	
40	0	37	1.0	1.0	0.9999999999999999	0.0	1.1102230246251565E-16	
