Month	SchActivity	PrjActivity	cumulPtime	cumulSchActivity	cumulPrjActivity)	timeLagOverSchema	srcLagOverSchema
0	10	162	0.0	0.9090909090909091	0.9759036144578314	0.9090909090909091	-0.0668127053669223	
1	1	4	1.0	1.0	1.0	0.0	0.0	
