Month	SchActivity	PrjActivity	cumulPtime	cumulSchActivity	cumulPrjActivity)	timeLagOverSchema	srcLagOverSchema
0	0	506	0.0	0.0	0.0044562259465076755	0.0	-0.0044562259465076755	
1	0	2073	0.019230769230769232	0.0	0.022712661494156707	-0.019230769230769232	-0.022712661494156707	
2	23	2678	0.038461538461538464	0.09583333333333334	0.04629719328219535	0.057371794871794876	0.04953614005113799	
3	0	229	0.057692307692307696	0.09583333333333334	0.04831394375996266	0.038141025641025644	0.04751938957337068	
4	0	4401	0.07692307692307693	0.09583333333333334	0.0870725413698051	0.018910256410256412	0.008760791963528233	
5	0	155	0.09615384615384616	0.09583333333333334	0.08843759081982228	-3.205128205128194E-4	0.007395742513511064	
6	0	1	0.11538461538461539	0.09583333333333334	0.08844639759046755	-0.01955128205128205	0.007386935742865794	
7	10	27	0.1346153846153846	0.1375	0.08868418039788989	0.002884615384615402	0.04881581960211012	
8	0	3	0.15384615384615385	0.1375	0.0887106007098257	-0.016346153846153844	0.04878939929017431	
9	17	664	0.17307692307692307	0.20833333333333334	0.09455829641828636	0.03525641025641027	0.11377503691504698	
10	0	901	0.19230769230769232	0.20833333333333334	0.10249319676967651	0.016025641025641024	0.10584013656365683	
11	1	393	0.21153846153846154	0.21250000000000002	0.10595425763326845	9.615384615384859E-4	0.10654574236673157	
12	0	13	0.23076923076923078	0.21250000000000002	0.10606874565165698	-0.01826923076923076	0.10643125434834304	
13	0	2	0.25	0.21250000000000002	0.10608635919294752	-0.03749999999999998	0.1064136408070525	
14	0	14	0.2692307692307692	0.21250000000000002	0.10620965398198133	-0.056730769230769196	0.10629034601801869	
15	0	2	0.28846153846153844	0.21250000000000002	0.10622726752327187	-0.07596153846153841	0.10627273247672815	
16	0	72	0.3076923076923077	0.21250000000000002	0.10686135500973146	-0.09519230769230769	0.10563864499026857	
17	0	82	0.3269230769230769	0.21250000000000002	0.10758351020264377	-0.1144230769230769	0.10491648979735625	
18	0	0	0.34615384615384615	0.21250000000000002	0.10758351020264377	-0.13365384615384612	0.10491648979735625	
19	0	0	0.36538461538461536	0.21250000000000002	0.10758351020264377	-0.15288461538461534	0.10491648979735625	
20	0	0	0.38461538461538464	0.21250000000000002	0.10758351020264377	-0.17211538461538461	0.10491648979735625	
21	0	5	0.40384615384615385	0.21250000000000002	0.10762754405587013	-0.19134615384615383	0.10487245594412989	
22	0	4	0.4230769230769231	0.21250000000000002	0.10766277113845123	-0.21057692307692305	0.1048372288615488	
23	0	0	0.4423076923076923	0.21250000000000002	0.10766277113845123	-0.22980769230769227	0.1048372288615488	
24	0	40	0.46153846153846156	0.21250000000000002	0.1080150419642621	-0.24903846153846154	0.10448495803573792	
25	0	332	0.4807692307692308	0.21250000000000002	0.11093888981849244	-0.26826923076923076	0.10156111018150758	
26	0	377	0.5	0.21250000000000002	0.11425904235176002	-0.2875	0.09824095764824001	
27	0	1051	0.5192307692307693	0.21250000000000002	0.12351495829994097	-0.30673076923076925	0.08898504170005905	
28	0	1686	0.5384615384615384	0.21250000000000002	0.1383631736078697	-0.3259615384615384	0.07413682639213032	
29	0	45467	0.5576923076923077	0.21250000000000002	0.5387806145364555	-0.3451923076923077	-0.3262806145364555	
30	105	45909	0.5769230769230769	0.65	0.9430906480902517	0.07307692307692315	-0.29309064809025165	
31	0	13	0.5961538461538461	0.65	0.9432051361086402	0.05384615384615388	-0.2932051361086402	
32	0	361	0.6153846153846154	0.65	0.9463843803115835	0.0346153846153846	-0.29638438031158343	
33	0	196	0.6346153846153846	0.65	0.9481105073580568	0.015384615384615441	-0.2981105073580568	
34	0	0	0.6538461538461539	0.65	0.9481105073580568	-0.0038461538461538325	-0.2981105073580568	
35	0	124	0.6730769230769231	0.65	0.9492025469180705	-0.023076923076923106	-0.29920254691807047	
36	0	40	0.6923076923076923	0.65	0.9495548177438814	-0.04230769230769227	-0.2995548177438814	
37	0	142	0.7115384615384616	0.65	0.95080537917551	-0.06153846153846154	-0.30080537917551	
38	0	8	0.7307692307692307	0.65	0.9508758333406722	-0.0807692307692307	-0.30087583334067214	
39	0	562	0.75	0.65	0.955825238443315	-0.09999999999999998	-0.305825238443315	
40	0	1	0.7692307692307693	0.65	0.9558340452139603	-0.11923076923076925	-0.3058340452139603	
41	0	101	0.7884615384615384	0.65	0.9567235290491328	-0.1384615384615384	-0.3067235290491328	
42	0	200	0.8076923076923077	0.65	0.9584848831781873	-0.1576923076923077	-0.30848488317818723	
43	8	1156	0.8269230769230769	0.6833333333333333	0.9686655100441218	-0.14358974358974352	-0.2853321767107885	
44	12	1300	0.8461538461538461	0.7333333333333334	0.9801143118829755	-0.11282051282051275	-0.2467809785496421	
45	16	298	0.8653846153846154	0.8	0.9827387295352665	-0.06538461538461537	-0.1827387295352665	
46	11	77	0.8846153846153846	0.8458333333333333	0.9834168508749525	-0.038782051282051255	-0.13758351754161913	
47	7	206	0.9038461538461539	0.875	0.9852310456278786	-0.028846153846153855	-0.11023104562787855	
48	6	621	0.9230769230769231	0.9	0.9907000501985925	-0.023076923076923106	-0.09070005019859251	
49	24	1039	0.9423076923076923	1.0	0.9998502848990303	0.05769230769230771	1.497151009697273E-4	
50	0	7	0.9615384615384616	1.0	0.9999119322935471	0.038461538461538436	8.806770645286566E-5	
51	0	8	0.9807692307692307	1.0	0.9999823864587093	0.019230769230769273	1.7613541290706358E-5	
52	0	2	1.0	1.0	0.9999999999999999	0.0	1.1102230246251565E-16	
