Month	SchActivity	PrjActivity	cumulPtime	cumulSchActivity	cumulPrjActivity)	timeLagOverSchema	srcLagOverSchema
0	43	562	0.0	0.9555555555555556	0.6714456391875747	0.9555555555555556	0.2841099163679809	
1	2	275	1.0	1.0	1.0	0.0	0.0	
