Month	SchActivity	PrjActivity	cumulPtime	cumulSchActivity	cumulPrjActivity)	timeLagOverSchema	srcLagOverSchema
0	0	74	0.0	0.0	0.017305893358278764	0.0	-0.017305893358278764	
1	0	319	0.03125	0.0	0.09190832553788586	-0.03125	-0.09190832553788586	
2	0	75	0.0625	0.0	0.10944808231992514	-0.0625	-0.10944808231992514	
3	0	8	0.09375	0.0	0.11131898971000934	-0.09375	-0.11131898971000934	
4	0	142	0.125	0.0	0.1445275958840037	-0.125	-0.1445275958840037	
5	0	125	0.15625	0.0	0.1737605238540692	-0.15625	-0.1737605238540692	
6	0	96	0.1875	0.0	0.19621141253507948	-0.1875	-0.19621141253507948	
7	0	25	0.21875	0.0	0.2020579981290926	-0.21875	-0.2020579981290926	
8	0	40	0.25	0.0	0.21141253507951355	-0.25	-0.21141253507951355	
9	0	97	0.28125	0.0	0.23409728718428435	-0.28125	-0.23409728718428435	
10	0	190	0.3125	0.0	0.2785313376987839	-0.3125	-0.2785313376987839	
11	0	231	0.34375	0.0	0.3325537885874649	-0.34375	-0.3325537885874649	
12	0	67	0.375	0.0	0.34822263797942005	-0.375	-0.34822263797942005	
13	0	133	0.40625	0.0	0.3793264733395697	-0.40625	-0.3793264733395697	
14	0	125	0.4375	0.0	0.4085594013096352	-0.4375	-0.4085594013096352	
15	0	426	0.46875	0.0	0.5081852198316184	-0.46875	-0.5081852198316184	
16	0	235	0.5	0.0	0.5631431244153414	-0.5	-0.5631431244153414	
17	0	212	0.53125	0.0	0.6127221702525725	-0.53125	-0.6127221702525725	
18	0	239	0.5625	0.0	0.6686155285313377	-0.5625	-0.6686155285313377	
19	0	194	0.59375	0.0	0.7139850327408793	-0.59375	-0.7139850327408793	
20	8	179	0.625	1.0	0.7558465855940131	0.375	0.24415341440598692	
21	0	237	0.65625	1.0	0.8112722170252572	0.34375	0.1887277829747428	
22	0	155	0.6875	1.0	0.8475210477081384	0.3125	0.1524789522918616	
23	0	224	0.71875	1.0	0.8999064546304958	0.28125	0.10009354536950421	
24	0	69	0.75	1.0	0.916043030869972	0.25	0.08395696913002804	
25	0	35	0.78125	1.0	0.9242282507015903	0.21875	0.07577174929840969	
26	0	9	0.8125	1.0	0.9263330215154351	0.1875	0.07366697848456494	
27	0	37	0.84375	1.0	0.9349859681945745	0.15625	0.06501403180542553	
28	0	123	0.875	1.0	0.9637511693171189	0.125	0.036248830682881095	
29	0	94	0.90625	1.0	0.9857343311506082	0.09375	0.014265668849391844	
30	0	4	0.9375	1.0	0.9866697848456503	0.0625	0.013330215154349734	
31	0	35	0.96875	1.0	0.9948550046772686	0.03125	0.005144995322731383	
32	0	22	1.0	1.0	1.0000000000000002	0.0	-2.220446049250313E-16	
