Month	SchActivity	PrjActivity	cumulPtime	cumulSchActivity	cumulPrjActivity)	timeLagOverSchema	srcLagOverSchema
0	4	109	0.0	1.0	0.956140350877193	1.0	0.04385964912280704	
1	0	1	0.03125	1.0	0.9649122807017544	0.96875	0.03508771929824561	
2	0	0	0.0625	1.0	0.9649122807017544	0.9375	0.03508771929824561	
3	0	0	0.09375	1.0	0.9649122807017544	0.90625	0.03508771929824561	
4	0	0	0.125	1.0	0.9649122807017544	0.875	0.03508771929824561	
5	0	0	0.15625	1.0	0.9649122807017544	0.84375	0.03508771929824561	
6	0	0	0.1875	1.0	0.9649122807017544	0.8125	0.03508771929824561	
7	0	0	0.21875	1.0	0.9649122807017544	0.78125	0.03508771929824561	
8	0	0	0.25	1.0	0.9649122807017544	0.75	0.03508771929824561	
9	0	1	0.28125	1.0	0.9736842105263158	0.71875	0.02631578947368418	
10	0	0	0.3125	1.0	0.9736842105263158	0.6875	0.02631578947368418	
11	0	0	0.34375	1.0	0.9736842105263158	0.65625	0.02631578947368418	
12	0	0	0.375	1.0	0.9736842105263158	0.625	0.02631578947368418	
13	0	0	0.40625	1.0	0.9736842105263158	0.59375	0.02631578947368418	
14	0	0	0.4375	1.0	0.9736842105263158	0.5625	0.02631578947368418	
15	0	0	0.46875	1.0	0.9736842105263158	0.53125	0.02631578947368418	
16	0	0	0.5	1.0	0.9736842105263158	0.5	0.02631578947368418	
17	0	0	0.53125	1.0	0.9736842105263158	0.46875	0.02631578947368418	
18	0	0	0.5625	1.0	0.9736842105263158	0.4375	0.02631578947368418	
19	0	0	0.59375	1.0	0.9736842105263158	0.40625	0.02631578947368418	
20	0	0	0.625	1.0	0.9736842105263158	0.375	0.02631578947368418	
21	0	0	0.65625	1.0	0.9736842105263158	0.34375	0.02631578947368418	
22	0	0	0.6875	1.0	0.9736842105263158	0.3125	0.02631578947368418	
23	0	0	0.71875	1.0	0.9736842105263158	0.28125	0.02631578947368418	
24	0	0	0.75	1.0	0.9736842105263158	0.25	0.02631578947368418	
25	0	0	0.78125	1.0	0.9736842105263158	0.21875	0.02631578947368418	
26	0	0	0.8125	1.0	0.9736842105263158	0.1875	0.02631578947368418	
27	0	0	0.84375	1.0	0.9736842105263158	0.15625	0.02631578947368418	
28	0	0	0.875	1.0	0.9736842105263158	0.125	0.02631578947368418	
29	0	0	0.90625	1.0	0.9736842105263158	0.09375	0.02631578947368418	
30	0	0	0.9375	1.0	0.9736842105263158	0.0625	0.02631578947368418	
31	0	0	0.96875	1.0	0.9736842105263158	0.03125	0.02631578947368418	
32	0	3	1.0	1.0	1.0	0.0	0.0	
