Date	Author	NumAffectedFiles	Contains .sql
2015-04	Jiří,jirisvoboda	7	0
2015-05	Jiří	59	0
2015-07	Jiří	9	0
2015-09	Jiří	2	0
2016-02	Jiří	7	0
2016-06	Jiří	2	0
2016-11	Jiří	29	0
2017-03	Jiří	10	0
2017-05	Jiří	5	0
2017-06	Jiří	181	4
2017-07	Jiří	13	1
2017-09	Jiří	9	0
2018-05	Jirka	1	0
2018-07	Jirka	34	1
