trID;time;oldVer;newVer;#oldT;#newT;#oldA;#newA;tIns;tDel;aIns;aDel;aTypeAlt;keyAlt;aTabIns;aTabDel
68;rev_009134;rev_009124.sql;rev_009134.sql;210;210;1559;1559;0;0;0;0;0;0;0;0
69;rev_009176;rev_009134.sql;rev_009176.sql;210;210;1559;1560;0;0;1;0;0;0;0;0
70;rev_009192;rev_009176.sql;rev_009192.sql;210;212;1560;1569;2;0;0;0;0;0;9;0
71;rev_009211;rev_009192.sql;rev_009211.sql;212;212;1569;1570;0;0;1;0;0;0;0;0
72;rev_009230;rev_009211.sql;rev_009230.sql;212;212;1570;1576;0;0;6;0;1;0;0;0
73;rev_009275;rev_009230.sql;rev_009275.sql;212;212;1576;1576;0;0;0;0;1;0;0;0
74;rev_009281;rev_009275.sql;rev_009281.sql;212;212;1576;1584;0;0;8;0;0;0;0;0
75;rev_009330;rev_009281.sql;rev_009330.sql;212;212;1584;1584;0;0;0;0;1;0;0;0
76;rev_009335;rev_009330.sql;rev_009335.sql;212;212;1584;1584;0;0;0;0;0;0;0;0
77;rev_009384;rev_009335.sql;rev_009384.sql;212;212;1584;1584;0;0;0;0;1;0;0;0
78;rev_009385;rev_009384.sql;rev_009385.sql;212;212;1584;1585;0;0;1;0;0;0;0;0
79;rev_009399;rev_009385.sql;rev_009399.sql;212;212;1585;1586;0;0;1;0;0;0;0;0
80;rev_009421;rev_009399.sql;rev_009421.sql;212;212;1586;1589;0;0;3;0;0;0;0;0
81;rev_009440;rev_009421.sql;rev_009440.sql;212;212;1589;1593;0;0;4;0;0;0;0;0
82;rev_009501;rev_009440.sql;rev_009501.sql;212;212;1593;1593;0;0;0;0;0;0;0;0
83;rev_009512;rev_009501.sql;rev_009512.sql;212;213;1593;1595;1;0;0;0;0;0;2;0
84;rev_009556;rev_009512.sql;rev_009556.sql;213;213;1595;1599;0;0;4;0;0;0;0;0
85;rev_009581;rev_009556.sql;rev_009581.sql;213;213;1599;1599;0;0;0;0;0;0;0;0
86;rev_009591;rev_009581.sql;rev_009591.sql;213;213;1599;1599;0;0;0;0;0;0;0;0
87;rev_009600;rev_009591.sql;rev_009600.sql;213;213;1599;1599;0;0;0;0;0;0;0;0
88;rev_009614;rev_009600.sql;rev_009614.sql;213;213;1599;1599;0;0;0;0;0;0;0;0
89;rev_009616;rev_009614.sql;rev_009616.sql;213;213;1599;1599;0;0;0;0;0;0;0;0
90;rev_009738;rev_009616.sql;rev_009738.sql;213;213;1599;1599;0;0;0;0;0;0;0;0
91;rev_009865;rev_009738.sql;rev_009865.sql;213;213;1599;1599;0;0;0;0;0;0;0;0
92;rev_009866;rev_009865.sql;rev_009866.sql;213;213;1599;1599;0;0;0;0;0;0;0;0
93;rev_009867;rev_009866.sql;rev_009867.sql;213;213;1599;1599;0;0;0;0;0;0;0;0
94;rev_009882;rev_009867.sql;rev_009882.sql;213;213;1599;1599;0;0;0;0;0;0;0;0
95;rev_009923;rev_009882.sql;rev_009923.sql;213;213;1599;1599;0;0;0;0;0;0;0;0
96;rev_009953;rev_009923.sql;rev_009953.sql;213;213;1599;1599;0;0;0;0;0;0;0;0
97;rev_010305;rev_009953.sql;rev_010305.sql;213;213;1599;1600;0;0;1;0;0;0;0;0
98;rev_010323;rev_010305.sql;rev_010323.sql;213;213;1600;1600;0;0;0;0;0;0;0;0
99;rev_010387;rev_010323.sql;rev_010387.sql;213;213;1600;1602;0;0;2;0;0;0;0;0
